Food_ID,Name,Energy_kcal,Carbohydrates_g,Fat_g,Fiber_g,Protein_g,Sugar_g,Type,Group
60,"CREAM CHEESE STYLE SPREAD, UPC: 856624004081",286,3.57,25,0,10.71,0,v,Cheese
61,"VEGAN CHAO SLICES, UPC: 638031705719",300,20,22.5,0,0,0,v,Cheese
62,"VEGAN PARMESAN CHEESE, UPC: 689076700429",500,25,37.5,0,25,0,v,Cheese
63,"VEGAN EGG, UPC: 049568460024",400,50,15,40,20,0,v,Egg
64,"Egg, whole, raw, fresh",143,0.72,9.51,0,12.56,0.37,m,Egg
65,"MINESTRONE VEGAN SOUP, UPC: 767335011032",531,68.75,1.56,18.8,15.62,9.38,v,Soup
66,"LENTIL VEGAN SOUP, UPC: 767335077717",53,9.8,0.2,4.1,3.27,1.22,v,Soup
67,"ORGANIC BUTTERNUT BISQUE VEGAN SOUP, UPC: 767335077922",49,11.43,0,0.8,0.82,2.04,v,Soup
68,"ORGANIC TORTILLA STYLE VEGAN SOUP, UPC: 767335077816",41,8.16,0.2,1.6,2.04,0.82,v,Soup
69,"Soup, minestrone, canned, chunky, ready-to-serve",53,8.64,1.17,2.4,2.13,2.17,m,Soup
70,"Soup, lentil with ham, canned, ready-to-serve",56,8.16,1.12,2.4,3.74,2.17,m,Soup
71,"TORTILLA SOUP, UPC: 041220804214",82,6.12,4.49,0.8,4.49,1.63,m,Soup
72,"CAMPBELL'S, Chicken Noodle Soup, condensed",47,5.97,1.53,0.8,2.37,0,m,Soup
73,"WHITE MISO SOUP, UPC: 075810371015",208,25,4.17,0,16.67,0,v,Soup
74,"VEGAN MUFFIN, UPC: 046567607757",283,46.9,8.85,1.8,4.42,25.66,v,Muffin
75,"BLUEBERRY MUFFINS, UPC: 014821089014",338,50.7,14.08,1.4,5.63,1.41,m,Muffin
76,"Milk shakes, thick vanilla",112,17.75,3.03,0,3.86,17.75,m,Milkshake
77,"AMAZAKE RICE SHAKE, ALMOND SHAKE, UPC: 030264002106",84,13.92,1.69,2.1,1.69,13.08,v,Milkshake
78,"VEGAN FRITTATA, UPC: 896165002559",200,15.88,12.35,4.1,8.82,1.76,v,Frittata
79,"SOUTH WESTERN STYLE FRITTATA, UPC: 07789042147",206,6.38,13.48,0,9.93,0.71,m,Frittata
80,"VEGAN MAC 'N CHEESE, UPC: 648912001090",187,21.05,8.77,0.9,6.14,0.88,v,Mac and Cheese
81,"MAC & CHEESE, UPC: 078742249575",155,17.31,6.36,0.7,7.42,1.41,m,Mac and Cheese
82,"PALEO VEGAN GELATO, UPC: 863186000338",220,26.61,11.93,0.9,4.59,20.18,v,Ice Cream
83,"BEN & JERRY'S, ICE CREAM, COFFEE, COFFEE BUZZBUZZBUZZ!, UPC: 076840298617",250,25.96,15.38,1,3.85,23.08,m,Ice Cream
84,"VEGAN BROWNIE RECTANGLE, UPC: 852748002804",380,56,19,3,2,34,v,Brownies
85,"Cookies, brownies, commercially prepared",405,63.9,16.3,2.1,4.8,36.61,m,Brownies
86,"BREADED VEGAN SCALLOPS, UPC: 851110003197",50,11,1,3,0,1,v,Scallops
87,"BREADED BAY SCALLOPS, UPC: 688267138959",226,21.43,10.71,1.2,10.71,1.19,m,Scallops
88,"SOUL VEGAN, LASAGNA, UPC: 878425000017",207,15,12.14,2.1,10,2.86,v,Lasagna
